time,alpha,x_min,error,gini,mean,pop,gdp,rev,exp,btm,top
0,1.5166743836820953,6.115094994259871,0.04796145521267535,0.5420502509655417,20.896237000855212,1000.0,20896.237000855217,1608.2365539897137,767.321835317509,621.3627255855146,10930.36607315526
1,1.5511825407609265,6.650056878661198,0.0490522742385737,0.5331337707773635,21.355344671155027,999.94,21356.961622031507,1890.92708773073,894.8471119281108,673.0613727622912,10745.842268074412
2,1.5419840723412748,6.761076108033267,0.048767753209502676,0.5305129907372855,21.752108319848553,999.735,21747.797333064576,1875.6560212180877,900.0875326843277,685.6297708277365,10897.92360693554
3,1.5398624943140913,6.970746158100057,0.04870447211248226,0.5283249899882886,22.25607005664208,999.585,22247.12500983478,1929.79005798029,930.7836865021839,707.7862317282955,11075.783657621603
4,1.5010136815737318,6.814365165582359,0.04747702816930583,0.5247907509513694,21.87115271844551,999.6,21861.60409360026,1735.5221856599046,855.5026745185424,693.2569441067877,10706.128302036712
5,1.4881100651534909,6.942138211315557,0.04706518001722063,0.5223075494227072,22.331270166183472,999.74,22324.916315503116,1747.5224157517337,869.495105927526,708.715432668158,10897.367828476066
6,1.5241411946133676,7.287221828081195,0.048200104219694555,0.5165146890207537,22.82889240422985,999.875,22825.723469497374,1857.3301752697569,913.2267485812715,744.9786689073076,11003.631040822798
7,1.5157926729755484,7.441859574137648,0.047923913279506763,0.5132106914245953,23.284131667529063,1000.32,23291.39523915685,1885.2399735532933,929.141302176328,763.2454658696403,11183.412899630584
8,1.4787490673449815,7.4571377838044945,0.046751427493542795,0.5127019401443299,23.700098173670035,1000.56,23713.024597826636,1843.4702847656506,919.5470322483739,768.3731452886152,11403.13258516316
9,1.4811193282564208,7.656836105915974,0.046811045626505524,0.5094564545430219,24.140459173870525,1001.21,24169.575485001613,1891.6511341876903,936.6425112601386,792.5800636506174,11553.85617203575
10,1.4613949739921177,7.737767854884413,0.0461736905972983,0.507033656137843,24.537067733621384,1001.725,24579.941043610837,1885.1206479913233,936.0300089134055,806.2511140618667,11735.856347772986
11,1.4729959368527255,7.924488374350647,0.04652853177316686,0.5047542213602967,24.888036215775347,1002.16,24942.38537085036,1929.2800983685433,957.900175878412,830.5715404110421,11791.9533972405
12,1.4716451480670087,8.121279836061387,0.04646802706996546,0.49944764600115193,25.303182499979087,1002.985,25380.08490933784,1974.1402339527904,968.9468856490907,857.2028544570337,11933.587136268136
13,1.4695627462163463,8.260967473563975,0.04638419300086249,0.49758166696225703,25.699947855602403,1003.76,25797.980428240717,2005.130172520273,981.4347567770101,878.9981266970071,12073.95444816821
14,1.4608619992489407,8.424995865813637,0.0460840237138888,0.4940274878836856,26.098539789536485,1004.95,26228.935199418465,2035.3492443127238,984.656393886737,904.4059268678003,12235.086461903818
15,1.4614212092496113,8.562122179433699,0.046072511694683065,0.4926957863885738,26.49632255473343,1006.205,26662.188977444544,2055.23449796831,994.129252883732,927.1358360956681,12399.37791348791
16,1.4643334493255793,8.735298898466004,0.04613626550007252,0.4901328341673925,26.864163257665556,1007.415,27064.7198559978,2098.860180168996,1007.7245585876492,954.0576519255665,12524.110964884
17,1.4535202353292989,8.823445664387288,0.04577104219325918,0.4886969597528402,27.22667521848631,1008.565,27460.67757779689,2104.216947886583,1010.4430630831013,971.9092847854563,12688.693091658793
18,1.4862882684368721,9.162705873378085,0.0467696419306983,0.48451748928699295,27.636052253775603,1009.975,27912.69726024307,2236.0899334823916,1058.1958201043387,1014.5049649548876,12740.809602834252
19,1.4514867884669065,9.113219445445722,0.045636028904777366,0.48484450943181245,27.922759736332885,1011.61,28247.40618957202,2172.411318596192,1035.0628464197282,1018.4607939096644,12946.81303597171
20,1.4985410044579113,9.502579771604701,0.047081370828195405,0.48128460763815994,28.34465492157019,1013.165,28717.714855406633,2339.560100913467,1101.2078677638115,1062.776120643694,12968.240878145025
21,1.486805205153243,9.592435361515896,0.046674230427122244,0.4812266599584331,28.718035032093145,1014.945,29144.40308139543,2352.105532540544,1108.188058217035,1077.87217524291,13164.253265544281
22,1.4548097591749516,9.515132775680552,0.045625714362424755,0.48362640950122504,29.063349003788847,1016.92,29550.22789903028,2284.97684372062,1084.3940748961513,1076.406707126811,13458.235979879806
23,1.4376991874026899,9.56828522800543,0.045043466940545424,0.48368895088693104,29.428091728530728,1018.89,29976.713085424133,2289.7694517545706,1088.4549014308961,1087.3174148099215,13678.912860690034
24,1.4712179259548261,9.927605401286913,0.046045553155515756,0.4810505225168072,29.83254958272607,1021.22,30459.23427164096,2448.991898747379,1148.8008049265834,1127.4477982265912,13751.333098535424
25,1.4164619039524344,9.698913141469449,0.04427150355330095,0.48574190440539505,30.158682984729484,1023.71,30867.590629774066,2324.2032317399066,1106.543615573761,1110.150684132125,14132.417186812068
26,1.4786422702312563,10.167731024021636,0.04615572833270781,0.4819539922540394,30.598066162737084,1026.44,31401.79368762886,2541.5720927025973,1176.6401374289735,1160.103229698667,14203.69347871464
